d,w,p,mapTrain,mapTest,hluTrain,hluTest
15,0.1,0.01,0.6446355565010466,0.22165581926330338,51.32029688698122,14.309002245655577
15,0.1,0.1,0.6539837788441633,0.22887853295363908,52.55271082717918,14.35215733499321
15,0.2,0.01,0.671106117861944,0.22543077180152551,54.237359037295505,14.440953800018635
15,0.2,0.1,0.6959270783685023,0.22247995512194027,56.436586703582904,14.239506951488062
16,0.1,0.01,0.6354732303002194,0.22539744324245387,51.29871379471294,14.252480424821773
16,0.1,0.1,0.6592605332315359,0.22432384519035264,52.690069686377605,14.290001299905075
16,0.2,0.01,0.6755065605309514,0.21880095822240198,54.566213924156834,13.88574257235936
16,0.2,0.1,0.6894684349421927,0.22114948072883314,55.937375367463474,14.235262878826088
17,0.1,0.01,0.6595722273241292,0.22079180427773842,52.71057134533952,14.58729995008245
17,0.1,0.1,0.6649018855792692,0.22036211370606276,53.50978160939799,14.19512310243899
17,0.2,0.01,0.6815473380415309,0.2122314899066491,54.90561985505642,13.849187610892683
17,0.2,0.1,0.6980781032433416,0.21421591879261728,56.74280763146066,13.95514577816459
18,0.1,0.01,0.6385259044150018,0.23345817325514773,51.38506977188367,14.768456751067685
18,0.1,0.1,0.6620465456077059,0.2145108137026927,53.3801858312412,14.158155148663646
18,0.2,0.01,0.6827624092021021,0.21149973601141328,55.84137277656317,13.695400396883517
18,0.2,0.1,0.7100841201169467,0.2061841783776497,58.16425461383516,13.42654180137613
19,0.1,0.01,0.6468244045278724,0.22586920348464934,52.20926851587884,14.438484980054945
19,0.1,0.1,0.6644985482299394,0.22498192099439446,53.5356541872894,13.981882531313698
19,0.2,0.01,0.692634320241425,0.20496519001561464,56.56876218610718,13.484971832675974
19,0.2,0.1,0.7069010718819256,0.21162633117649043,58.017012418044914,13.705438213847609
20,0.1,0.01,0.6392313219716603,0.22728766671802011,51.941038551330145,14.185531633422082
20,0.1,0.1,0.6666356040430641,0.21540396572641796,54.07399207187521,13.652353289538771
20,0.2,0.01,0.6916839529709814,0.20975384468484254,56.26285555295822,13.53244931862533
20,0.2,0.1,0.709498052081177,0.21416975589480897,58.047815521259935,13.6833875523033
